i94port,portname,country,addr
FLX,FALLONMUNICIPALAIRPORT,UNITED STATES,NV
LVG,LASVEGAS,UNITED STATES,NV
REN,RENO,UNITED STATES,NV
ALB,ALBANY,UNITED STATES,NY
AXB,ALEXANDRIABAY,UNITED STATES,NY
BUF,BUFFALO,UNITED STATES,NY
CNH,CANNONCORNERS,UNITED STATES,NY
CAP,CAPEVINCENT,UNITED STATES,NY
CHM,CHAMPLAIN,UNITED STATES,NY
CHT,CHATEAUGAY,UNITED STATES,NY
CLA,CLAYTON,UNITED STATES,NY
FTC,FORTCOVINGTON,UNITED STATES,NY
LAG,LAGUARDIA,UNITED STATES,NY
LEW,LEWISTON,UNITED STATES,NY
MAS,MASSENA,UNITED STATES,NY
MAG,MCGUIREAFB,UNITED STATES,NY
MOO,MOORES,UNITED STATES,NY
MRR,MORRISTOWN,UNITED STATES,NY
NYC,NEWYORK,UNITED STATES,NY
NIA,NIAGARAFALLS,UNITED STATES,NY
OGD,OGDENSBURG,UNITED STATES,NY
OSW,OSWEGO,UNITED STATES,NY
ELM,REGIONALARPT-HORSEHEAD,UNITED STATES,NY
ROC,ROCHESTER,UNITED STATES,NY
ROU,ROUSESPOINT,UNITED STATES,NY
SWF,STEWART-ORANGECNTY,UNITED STATES,NY
SYR,SYRACUSE,UNITED STATES,NY
THO,THOUSANDISLANDBRIDGE,UNITED STATES,NY
TRO,TROUTRIVER,UNITED STATES,NY
WAT,WATERTOWN,UNITED STATES,NY
HPN,WESTCHESTER-WHITEPLAINS,UNITED STATES,NY
WRB,WHIRLPOOLBRIDGE,UNITED STATES,NY
YOU,YOUNGSTOWN,UNITED STATES,NY
AKR,AKRON,UNITED STATES,OH
ATB,ASHTABULA,UNITED STATES,OH
CIN,CINCINNATI,UNITED STATES,OH
CLE,CLEVELAND,UNITED STATES,OH
CLM,COLUMBUS,UNITED STATES,OH
LOR,LORAIN,UNITED STATES,OH
MBO,MARBLEHEADS,UNITED STATES,OH
SDY,SANDUSKY,UNITED STATES,OH
TOL,TOLEDO,UNITED STATES,OH
OKC,OKLAHOMACITY,UNITED STATES,OK
TUL,TULSA,UNITED STATES,OK
AST,ASTORIA,UNITED STATES,OR
COO,COOSBAY,UNITED STATES,OR
HIO,HILLSBORO,UNITED STATES,OR
MED,MEDFORD,UNITED STATES,OR
NPT,NEWPORT,UNITED STATES,OR
POO,PORTLAND,UNITED STATES,OR
PUT,PUT-IN-BAY,UNITED STATES,OH
RDM,ROBERTSFIELDS-REDMOND,UNITED STATES,OR
ERI,ERIE,UNITED STATES,PA
MDT,HARRISBURG,UNITED STATES,PA
HSB,HARRISONBURG,UNITED STATES,PA
PHI,PHILADELPHIA,UNITED STATES,PA
PIT,PITTSBURG,UNITED STATES,PA
AGU,AGUADILLA,UNITED STATES,PR
BQN,BORINQUEN-AGUADILLO,UNITED STATES,PR
JCP,CULEBRA-BENJAMINRIVERA,UNITED STATES,PR
ENS,ENSENADA,UNITED STATES,PR
FAJ,FAJARDO,UNITED STATES,PR
HUM,HUMACAO,UNITED STATES,PR
JOB,JOBOS,UNITED STATES,PR
MAY,MAYAGUEZ,UNITED STATES,PR
PON,PONCE,UNITED STATES,PR
PSE,PONCE-MERCEDITA,UNITED STATES,PR
SAJ,SANJUAN,UNITED STATES,PR
VQS,VIEQUES-ARPT,UNITED STATES,PR
PRO,PROVIDENCE,UNITED STATES,RI
PVD,THEODOREFRANCIS-WARWICK,UNITED STATES,RI
CHL,CHARLESTON,UNITED STATES,SC
CAE,COLUMBIA,UNITED STATES,SC
GEO,GEORGETOWN,UNITED STATES,SC
GSP,GREENVILLE,UNITED STATES,SC
GRR,GREER,UNITED STATES,SC
MYR,MYRTLEBEACH,UNITED STATES,SC
SPF,BLACK HILLS SPEARFISH,UNITED STATES,SD
HON,HOWESREGIONALARPT-HURON,UNITED STATES,SD
SAI,SAIPAN,UNITED STATES,SPN
TYS,MCGHEETYSON-ALCOA,UNITED STATES,TN
MEM,MEMPHIS,UNITED STATES,TN
NSV,NASHVILLE,UNITED STATES,TN
TRI,TRICITYARPT,UNITED STATES,TN
ADS,ADDISONAIRPORT-ADDISON,UNITED STATES,TX
ADT,AMISTADDAM,UNITED STATES,TX
ANZ,ANZALDUAS,UNITED STATES,TX
AUS,AUSTIN,UNITED STATES,TX
BEA,BEAUMONT,UNITED STATES,TX
BBP,BIGBENDPARK,UNITED STATES,TX
SCC,BPSPECCOORDCTR,UNITED STATES,TX
BTC,BPTACTICALUNIT,UNITED STATES,TX
BOA,BRIDGEOFAMERICAS,UNITED STATES,TX
BRO,BROWNSVILLE,UNITED STATES,TX
CRP,CORPUSCHRISTI,UNITED STATES,TX
DAL,DALLAS,UNITED STATES,TX
DLR,DELRIO,UNITED STATES,TX
DNA,DONNA,UNITED STATES,TX
EGP,EAGLEPASS,UNITED STATES,TX
ELP,ELPASO,UNITED STATES,TX
FAB,FABENS,UNITED STATES,TX
FAL,FALCONHEIGHTS,UNITED STATES,TX
FTH,FORTHANCOCK,UNITED STATES,TX
AFW,FORTWORTHALLIANCE,UNITED STATES,TX
FPT,FREEPORT,UNITED STATES,TX
GAL,GALVESTON,UNITED STATES,TX
HLG,HARLINGEN,UNITED STATES,TX
HID,HIDALGO,UNITED STATES,TX
HOU,HOUSTON,UNITED STATES,TX
SGR,HULL FIELD SUGAR LAND ARPT,UNITED STATES,TX
LLB,JUAREZ-LINCOLNBRIDGE,UNITED STATES,TX
LCB,LAREDOCOLUMBIABRIDGE,UNITED STATES,TX
LRN,LAREDONORTH,UNITED STATES,TX
LAR,LAREDO,UNITED STATES,TX
LSE,LOSEBANOS,UNITED STATES,TX
IND,LOSINDIOS,UNITED STATES,TX
LOI,LOSINDIOS,UNITED STATES,TX
MRS,MARFA,UNITED STATES,TX
MCA,MCALLEN,UNITED STATES,TX
MAF,ODESSAREGIONAL,UNITED STATES,TX
PDN,PASODELNORTE,UNITED STATES,TX
PBB,PEACEBRIDGE,UNITED STATES,NY
PHR,PHARR,UNITED STATES,TX
PAR,PORTARTHUR,UNITED STATES,TX
ISB,PORTISABEL,UNITED STATES,TX
POE,PORTOFELPASO,UNITED STATES,TX
PRE,PRESIDIO,UNITED STATES,TX
PGR,PROGRESO,UNITED STATES,TX
RIO,RIOGRANDECITY,UNITED STATES,TX
ROM,ROMA,UNITED STATES,TX
SNA,SANANTONIO,UNITED STATES,TX
SNN,SANDERSON,UNITED STATES,TX
VIB,VETERANINTLBRIDGE,UNITED STATES,TX
YSL,YSLETA,UNITED STATES,TX
CHA,CHARLOTTEAMALIE,UNITED STATES,VI
CHR,CHRISTIANSTED,UNITED STATES,VI
CRU,CRUZ BAY ST JOHN,UNITED STATES,VI
FRK,FREDERIKSTED,UNITED STATES,VI
STT,STTHOMAS,UNITED STATES,VI
LGU,CACHEAIRPORT-LOGAN,UNITED STATES,UT
SLC,SALTLAKECITY,UNITED STATES,UT
CHO,ALBEMARLECHARLOTTESVILLE,UNITED STATES,VA
DAA,DAVISONAAF-FAIRFAXCNTY,UNITED STATES,VA
HOP,HOPEWELL,UNITED STATES,VA
